Code,Area,Year,Fuel,Sector,Measurement,Value
E09000021,Kingston upon Thames,2009,Coal,Total,Ktoe ,0.124316323
E09000022,Lambeth,2009,Coal,Total,Ktoe ,0.100296984
E09000023,Lewisham,2009,Coal,Total,Ktoe ,0.138186865
E09000024,Merton,2009,Coal,Total,Ktoe ,0.078630478
E09000025,Newham,2009,Coal,Total,Ktoe ,0.138017465
E09000026,Redbridge,2009,Coal,Total,Ktoe ,0.133089606
E09000027,Richmond upon Thames,2009,Coal,Total,Ktoe ,0.147530943
E09000028,Southwark,2009,Coal,Total,Ktoe ,0.098979931
E09000029,Sutton,2009,Coal,Total,Ktoe ,0.226983902
E09000030,Tower Hamlets,2009,Coal,Total,Ktoe ,0.106071294
E09000031,Waltham Forest,2009,Coal,Total,Ktoe ,0.150388549
E09000032,Wandsworth,2009,Coal,Total,Ktoe ,0.075460041
E09000033,Westminster,2009,Coal,Total,Ktoe ,0.123013557
E09000002,Barking and Dagenham,2010,Coal,Total,Ktoe ,0.28889679
E09000003,Barnet,2010,Coal,Total,Ktoe ,0.138985596
E09000004,Bexley,2010,Coal,Total,Ktoe ,0.151022549
E09000005,Brent,2010,Coal,Total,Ktoe ,0.080862639
E09000006,Bromley,2010,Coal,Total,Ktoe ,0.282912333
E09000007,Camden,2010,Coal,Total,Ktoe ,0.072846044
E09000001,City of London,2010,Coal,Total,Ktoe ,0
E09000008,Croydon,2010,Coal,Total,Ktoe ,0.290682309
E09000009,Ealing,2010,Coal,Total,Ktoe ,0.356659982
E09000010,Enfield,2010,Coal,Total,Ktoe ,0.197018328
E09000011,Greenwich,2010,Coal,Total,Ktoe ,0.132570999
E09000012,Hackney,2010,Coal,Total,Ktoe ,0.108968897
E09000013,Hammersmith and Fulham,2010,Coal,Total,Ktoe ,0.033401233
E09000014,Haringey,2010,Coal,Total,Ktoe ,0.135654326
E09000015,Harrow,2010,Coal,Total,Ktoe ,0.091409238
E09000016,Havering,2010,Coal,Total,Ktoe ,0.442858131
E09000017,Hillingdon,2010,Coal,Total,Ktoe ,0.320521471
E09000018,Hounslow,2010,Coal,Total,Ktoe ,0.19550011
E09000019,Islington,2010,Coal,Total,Ktoe ,0.067719943
E09000020,Kensington and Chelsea,2010,Coal,Total,Ktoe ,0.068799957
E09000021,Kingston upon Thames,2010,Coal,Total,Ktoe ,0.124710477
E09000022,Lambeth,2010,Coal,Total,Ktoe ,0.100547026
E09000023,Lewisham,2010,Coal,Total,Ktoe ,0.138531366
E09000024,Merton,2010,Coal,Total,Ktoe ,0.078826504
E09000025,Newham,2010,Coal,Total,Ktoe ,0.138361543
E09000026,Redbridge,2010,Coal,Total,Ktoe ,0.133463516
E09000027,Richmond upon Thames,2010,Coal,Total,Ktoe ,0.147898738
E09000028,Southwark,2010,Coal,Total,Ktoe ,0.099521501
E09000029,Sutton,2010,Coal,Total,Ktoe ,0.228686907
E09000030,Tower Hamlets,2010,Coal,Total,Ktoe ,0.106841123
E09000031,Waltham Forest,2010,Coal,Total,Ktoe ,0.150763469
E09000032,Wandsworth,2010,Coal,Total,Ktoe ,0.075648163
E09000033,Westminster,2010,Coal,Total,Ktoe ,0.123909855
E09000002,Barking and Dagenham,2011,Coal,Total,Ktoe ,0.246173848
E09000003,Barnet,2011,Coal,Total,Ktoe ,0.13168896
E09000004,Bexley,2011,Coal,Total,Ktoe ,0.140838759
E09000005,Brent,2011,Coal,Total,Ktoe ,0.076806202
E09000006,Bromley,2011,Coal,Total,Ktoe ,0.27109496
E09000007,Camden,2011,Coal,Total,Ktoe ,0.069191756
E09000001,City of London,2011,Coal,Total,Ktoe ,0
E09000008,Croydon,2011,Coal,Total,Ktoe ,0.276050426
E09000009,Ealing,2011,Coal,Total,Ktoe ,0.334617965
E09000010,Enfield,2011,Coal,Total,Ktoe ,0.185837039
E09000011,Greenwich,2011,Coal,Total,Ktoe ,0.124947169
E09000012,Hackney,2011,Coal,Total,Ktoe ,0.10058212
E09000013,Hammersmith and Fulham,2011,Coal,Total,Ktoe ,0.031725676
E09000014,Haringey,2011,Coal,Total,Ktoe ,0.118465633
E09000015,Harrow,2011,Coal,Total,Ktoe ,0.085205963
E09000016,Havering,2011,Coal,Total,Ktoe ,0.417086531
E09000017,Hillingdon,2011,Coal,Total,Ktoe ,0.281959799
E09000018,Hounslow,2011,Coal,Total,Ktoe ,0.18017662
E09000019,Islington,2011,Coal,Total,Ktoe ,0.062700358
E09000020,Kensington and Chelsea,2011,Coal,Total,Ktoe ,0.064375171
E09000021,Kingston upon Thames,2011,Coal,Total,Ktoe ,0.117805455
E09000022,Lambeth,2011,Coal,Total,Ktoe ,0.095503131
E09000023,Lewisham,2011,Coal,Total,Ktoe ,0.131582005
E09000024,Merton,2011,Coal,Total,Ktoe ,0.074872209
E09000025,Newham,2011,Coal,Total,Ktoe ,0.131420701
E09000026,Redbridge,2011,Coal,Total,Ktoe ,0.126443892
E09000027,Richmond upon Thames,2011,Coal,Total,Ktoe ,0.140479467
E09000028,Southwark,2011,Coal,Total,Ktoe ,0.092257626
E09000029,Sutton,2011,Coal,Total,Ktoe ,0.208453724
E09000030,Tower Hamlets,2011,Coal,Total,Ktoe ,0.097587617
E09000031,Waltham Forest,2011,Coal,Total,Ktoe ,0.14320049
E09000032,Wandsworth,2011,Coal,Total,Ktoe ,0.071853308
E09000033,Westminster,2011,Coal,Total,Ktoe ,0.113151125
E09000002,Barking and Dagenham,2012,Coal,Total,Ktoe ,0.248148106
E09000003,Barnet,2012,Coal,Total,Ktoe ,0.128302589
E09000004,Bexley,2012,Coal,Total,Ktoe ,0.138162705
E09000005,Brent,2012,Coal,Total,Ktoe ,0.074774241
E09000006,Bromley,2012,Coal,Total,Ktoe ,0.263356577
E09000007,Camden,2012,Coal,Total,Ktoe ,0.067361241
E09000001,City of London,2012,Coal,Total,Ktoe ,0
E09000008,Croydon,2012,Coal,Total,Ktoe ,0.277303984
E09000009,Ealing,2012,Coal,Total,Ktoe ,0.325789361
E09000010,Enfield,2012,Coal,Total,Ktoe ,0.181310797
E09000011,Greenwich,2012,Coal,Total,Ktoe ,0.12193426
E09000012,Hackney,2012,Coal,Total,Ktoe ,0.098799112
E09000013,Hammersmith and Fulham,2012,Coal,Total,Ktoe ,0.030886351
E09000014,Haringey,2012,Coal,Total,Ktoe ,0.118453182
E09000015,Harrow,2012,Coal,Total,Ktoe ,0.083437469
E09000016,Havering,2012,Coal,Total,Ktoe ,0.417848404
E09000017,Hillingdon,2012,Coal,Total,Ktoe ,0.296545679
E09000018,Hounslow,2012,Coal,Total,Ktoe ,0.177068295
E09000019,Islington,2012,Coal,Total,Ktoe ,0.061529333
E09000020,Kensington and Chelsea,2012,Coal,Total,Ktoe ,0.062964735
E09000021,Kingston upon Thames,2012,Coal,Total,Ktoe ,0.114883933
E09000022,Lambeth,2012,Coal,Total,Ktoe ,0.09297653
E09000023,Lewisham,2012,Coal,Total,Ktoe ,0.128100913
E09000024,Merton,2012,Coal,Total,Ktoe ,0.072891414
E09000025,Newham,2012,Coal,Total,Ktoe ,0.127943876
E09000026,Redbridge,2012,Coal,Total,Ktoe ,0.123196283
E09000027,Richmond upon Thames,2012,Coal,Total,Ktoe ,0.136762986
