code,qualification,crime_rate,cars_per_household,in_employment,number_of_housespace
E05000344,26,76.4,1.1,5981,"4,853"
E05000345,23.1,110.1,1,6051,"5,181"
E05000346,20.2,65,1.1,6105,"5,046"
E05000347,35.3,80,0.8,7043,"6,116"
E05000348,55.7,83.5,0.9,6077,"5,051"
E05000349,56,62.2,1,6201,"5,289"
E05000350,26.2,74.4,1,5548,"4,006"
E05000351,21.1,77.4,1.1,5500,"4,310"
E05000352,25,69.8,1,7666,"5,895"
E05000353,19.2,72.9,1,5265,"4,733"
E05000354,22.2,70.5,1.1,5614,"4,576"
E05000355,32,53,1.1,5584,"3,936"
E05000356,33.4,63.3,1.2,5745,"4,065"
E05000357,24.4,100.3,1.1,5161,"4,071"
E05000358,42.8,166.8,0.7,7795,"5,519"
E05000359,34.6,64,0.9,6878,"5,029"
E05000360,32.9,41.4,1.3,5767,"4,008"
E05000361,33.5,92.1,0.9,6288,"4,023"
E05000362,33.8,69.5,0.9,5827,"4,987"
E05000363,45.9,73.2,1.2,6844,"4,897"
E05000364,38.9,82.2,0.9,7063,"5,982"
E05000365,55.4,95,0.8,6354,"5,735"
E05000366,51.5,131.4,0.5,6292,"5,893"
E05000367,45.2,179.7,0.3,6889,"7,366"
E05000368,39.1,138.8,0.4,6494,"6,407"
E05000369,47.3,80.2,0.4,6103,"5,875"
E05000370,47.9,154.3,0.4,5721,"5,733"
E05000371,41.8,161.3,0.3,6862,"6,493"
E05000372,58.8,98.2,0.5,6350,"5,391"
E05000373,56.3,88.5,0.4,8745,"7,376"
E05000374,43.7,74,0.5,5560,"5,209"
E05000375,43.3,83.3,0.4,7305,"6,912"
E05000376,46.9,115.5,0.4,6085,"5,882"
E05000377,48.8,92.3,0.4,6556,"6,064"
E05000378,48.3,76.5,0.5,6282,"5,627"
E05000379,54.4,192.2,0.4,6476,"5,959"
E05000380,53,127.1,0.4,6277,"5,740"
E05000381,45.2,86.4,0.4,6770,"6,269"
E05000382,59.2,83.2,0.6,4823,"5,399"
E05000383,57.4,185.5,0.6,4465,"5,840"
E05000384,62.4,124.7,0.7,4206,"4,550"
E05000385,48.6,172.2,0.4,4457,"4,701"
E05000386,58.7,109,0.5,4535,"5,105"
E05000387,41.2,89.5,0.5,3470,"4,230"
